Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
ABILENE CHRISTIAN UNIV	TXC	TX	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ABILENE PUB LIBR	TXB	TX	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
ADELPHI UNIV	VJA	NY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
AIR UNIV LIBR	AAU	AL	Federal/Natl Government	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ALACHUA CNTY LIBR DIST	FMG	FL	Public	3	3	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ALASKA STATE LIBR	ALK	AK	State Library	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
ALBANY PUB LIBR	ABY	OR	Public	8	8	0	0	0	0	8	0	0	0:00:00	0:00:00	0:00:00
ALBUQUERQUE BERNALILLO CNTY LIBR	QUE	NM	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ALMA COLL LIBR	EZA	MI	Academic	1	1	0	1	1	0	0	0	0	5:00:00	5:00:00	0:00:00
ALSIP-MERRIONETTE PARK PUB LIBR	JCF	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ALTADENA LIBR DIST	ALD	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ALTOONA AREA PUB LIBR	AOP	PA	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
AMERICAN UNIV	EAU	DC	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
AMERICAN UNIV WASHINGTON COLL OF LAW	WCL	DC	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
AMES PUB LIBR	UIB	IA	Public	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
AMHERST COL	AMH	MA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ANGELO STATE UNIV	ANG	TX	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ANNISTON-CALHOUN CNTY PUB LIBR	ACCPL	AL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ANTELOPE VAL COL LIBR	AUV	CA	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
ANYTHINK	BYV	CO	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
APACHE CNTY LIBR DIST	FV6	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
APPALACHIAN SCH OF LAW LIBR	A2Q	VA	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
APPALACHIAN STATE UNIV	NJB	NC	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
ARAPAHOE LIBR DIST	CO2	CO	Public	5	4	0	1	1	0	4	0	0	4:00:00	4:00:00	0:00:00
ARCADIA PUB LIBR	CGB	CA	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ARKANSAS RIVER VAL REG LIBR	AVR	AR	Public	5	5	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
ARKANSAS STATE UNIV BEEBE	AS4	AR	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
ARLINGTON HEIGHTS MEM LIBR	JBL	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ARTHUR JOHNSON MEM LIBR	AJM	NM	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ASOTIN CNTY LIBR	XYT	WA	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
AUGSBURG UNIV LINDELL LIBR	MNA	MN	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
AUSTIN PEAY STATE UNIV	TPA	TN	Academic	2	2	0	2	2	0	0	0	0	0:12:00	0:12:00	0:00:00
